city,county,county_cat
Derby Acres,Kern,suburban
Descanso,San Diego,urban
Desert Center,Riverside,urban
Desert Edge,Riverside,urban
Desert Hot Springs,Riverside,urban
Desert Palms,Riverside,urban
Desert Shores,Imperial,suburban
Desert View Highlands,Los Angeles,urban
Diablo,Contra Costa,urban
Diablo Grande,Stanislaus,suburban
Diamond Bar,Los Angeles,urban
Diamond Springs,El Dorado,rural
Dillon Beach,Marin,suburban
Dinuba,Tulare,suburban
Discovery Bay,Contra Costa,urban
Dixon,Solano,suburban
Dixon Lane-Meadow Creek,Inyo,rural
Dobbins,Yuba,rural
Dogtown,San Joaquin,urban
Dollar Point,Placer,suburban
Dorrington,Calaveras,rural
Dorris,Siskiyou,rural
Dos Palos,Merced,suburban
Dos Palos Y,Merced,suburban
Douglas,Trinity,rural
Downey,Los Angeles,urban
Downieville,Sierra,rural
Doyle,Lassen,rural
Drytown,Amador,rural
Duarte,Los Angeles,urban
Dublin,Alameda,urban
Ducor,Tulare,suburban
Dunnigan,Yolo,suburban
Dunsmuir,Siskiyou,rural
Durham,Butte,suburban
Dustin Acres,Kern,suburban
Dutch Flat,Placer,suburban
Eagleville,Modoc,rural
Earlimart,Tulare,suburban
East Foothills,Santa Clara,urban
East Hemet,Riverside,urban
East La Mirada,Los Angeles,urban
East Los Angeles,Los Angeles,urban
East Nicolaus,Sutter,rural
East Oakdale,Stanislaus,suburban
East Orosi,Tulare,suburban
East Palo Alto,San Mateo,urban
East Pasadena,Los Angeles,urban
East Porterville,Tulare,suburban
East Quincy,Plumas,rural
East Rancho Dominguez,Los Angeles,urban
East Richmond Heights,Contra Costa,urban
East San Gabriel,Los Angeles,urban
East Shore,Plumas,rural
East Sonora,Tuolumne,rural
East Tulare Villa,Tulare,suburban
Easton,Fresno,urban
Eastvale,Riverside,urban
Edgewood,Siskiyou,rural
Edmundson Acres,Kern,suburban
Edna,San Luis Obispo,suburban
Edwards AFB,Kern,suburban
El Cajon,San Diego,urban
El Centro,Imperial,suburban
El Cerrito,Riverside,urban
El Cerrito,Contra Costa,urban
El Dorado Hills,El Dorado,rural
El Granada,San Mateo,urban
El Monte,Los Angeles,urban
El Nido,Merced,suburban
El Paso de Robles,San Luis Obispo,suburban
El Portal,Mariposa,rural
El Rancho,Tulare,suburban
El Rio,Ventura,urban
El Segundo,Los Angeles,urban
El Sobrante,Contra Costa,urban
El Sobrante,Riverside,urban
El Verano,Sonoma,suburban
Eldridge,Sonoma,suburban
Elizabeth Lake,Los Angeles,urban
Elk Creek,Glenn,rural
Elk Grove,Sacramento,urban
Elkhorn,Monterey,suburban
Elmira,Solano,suburban
Elverta,Sacramento,urban
Emerald Lake Hills,San Mateo,urban
Emeryville,Alameda,urban
Empire,Stanislaus,suburban
Encinitas,San Diego,urban
Escalon,San Joaquin,urban
Escondido,San Diego,urban
Esparto,Yolo,suburban
Etna,Siskiyou,rural
Eucalyptus Hills,San Diego,urban
Eureka,Humboldt,rural
Exeter,Tulare,suburban
Fair Oaks,Sacramento,urban
Fairbanks Ranch,San Diego,urban
Fairfax,Marin,suburban
Fairfield,Solano,suburban
Fairmead,Madera,rural
Fairview,Alameda,urban
Fall River Mills,Shasta,suburban
Fallbrook,San Diego,urban
Farmersville,Tulare,suburban
Farmington,San Joaquin,urban
Fellows,Kern,suburban
Felton,Santa Cruz,suburban
Ferndale,Humboldt,rural
Fetters Hot Springs-Agua Caliente,Sonoma,suburban
Fiddletown,Amador,rural
Fieldbrook,Humboldt,rural
Fields Landing,Humboldt,rural
Fillmore,Ventura,urban
Firebaugh,Fresno,urban
Fish Camp,Mariposa,rural
Florence-Graham,Los Angeles,urban
Florin,Sacramento,urban
Floriston,Nevada,rural
Flournoy,Tehama,rural
Folsom,Sacramento,urban
Fontana,San Bernardino,urban
Foothill Farms,Sacramento,urban
Forbestown,Butte,suburban
Ford,Kern,suburban
Forest Meadows,Calaveras,rural
Forest Ranch,Butte,suburban
Foresthill,Placer,suburban
Forestville,Sonoma,suburban
Fort Bidwell,Modoc,rural
Fort Bragg,Mendocino,rural
Fort Irwin,San Bernardino,urban
Fort Jones,Siskiyou,rural
Fort Washington,Fresno,urban
Fortuna,Humboldt,rural
Foster,San Mateo,urban
Fountain Valley,Orange,urban
Fowler,Fresno,urban
Franklin,Merced,suburban
Franklin,Sacramento,urban
Frazier Park,Kern,suburban
Freedom,Santa Cruz,suburban
Freeport,Sacramento,urban
Fremont,Alameda,urban
French Camp,San Joaquin,urban
French Gulch,Shasta,suburban
French Valley,Riverside,urban
Fresno,Fresno,urban
Friant,Fresno,urban
Fruitdale,Santa Clara,urban
Fruitridge Pocket,Sacramento,urban
Fuller Acres,Kern,suburban
Fullerton,Orange,urban
Fulton,Sonoma,suburban
Furnace Creek,Inyo,rural
Galt,Sacramento,urban
Garberville,Humboldt,rural
Garden Acres,San Joaquin,urban
Garden Farms,San Luis Obispo,suburban
Garden Grove,Orange,urban
Gardena,Los Angeles,urban
Garey,Santa Barbara,suburban
Garnet,Riverside,urban
Gasquet,Del Norte,rural
Gazelle,Siskiyou,rural
Georgetown,El Dorado,rural
Gerber,Tehama,rural
Geyserville,Sonoma,suburban
Gilroy,Santa Clara,urban
Glen Avon,Riverside,urban
Glen Ellen,Sonoma,suburban
Glendale,Los Angeles,urban
Glendora,Los Angeles,urban
Gold Mountain,Plumas,rural
Gold River,Sacramento,urban
Golden Hills,Kern,suburban
Goleta,Santa Barbara,suburban
Gonzales,Monterey,suburban
Good Hope,Riverside,urban
Goodyears Bar,Sierra,rural
Goshen,Tulare,suburban
Graeagle,Plumas,rural
Grand Terrace,San Bernardino,urban
Grangeville,Kings,rural
Granite Bay,Placer,suburban
Granite Hills,San Diego,urban
Graniteville,Nevada,rural
Grass Valley,Nevada,rural
Graton,Sonoma,suburban
Grayson,Stanislaus,suburban
Greeley Hill,Mariposa,rural
