rank,city,population
840,Georgetown,"2,255"
841,Wofford Heights,"2,213"
842,Santa Nella,"2,211"
843,Weedpatch,"2,206"
844,Chester,"2,187"
845,Edwards AFB,"2,135"
846,Bethel Island,"2,131"
847,Belvedere,"2,126"
848,San Pasqual,"2,101"
849 TIE,Portola and South Taft,"2,100"
850,Los Molinos,"2,098"
851,Collierville,"2,094"
852,Soulsbyville,"2,092"
853,San Juan Bautista,"2,089"
854,Boron,"2,086"
855,Three Rivers,"2,053"
856,Brookdale,"2,043"
857 TIE,Lone Pine and Westmorland,"2,014"
858,Bodfish,"2,008"
859,Romoland,"2,005"
860,Taft Heights,"1,999"
861 TIE,Murphys and Colfax,"1,995"
862,Lakeview,"1,977"
863,Easton,"1,972"
864,Biggs,"1,964"
865,Bell Canyon,"1,946"
866,Woodlands,"1,933"
867,Lagunitas-Forest Knolls,"1,924"
868,Rouse,"1,913"
869,Patterson Tract,"1,888"
870,Rainbow,"1,884"
871,Big Pine,"1,875"
872 TIE,Pine Canyon and Camino,"1,871"
873,Linden,"1,863"
874,Redwood Valley,"1,843"
875,Los Alamos,"1,839"
876,Toro Canyon,"1,835"
877,Tuolumne City,"1,798"
878,Bayview,"1,782"
879,Calwa,"1,776"
880,Julian,"1,768"
881,Lake Don Pedro,"1,765"
882,Boronda,"1,760"
883,Lake Sherwood,"1,759"
884,China Lake Acres,"1,757"
885,South Dos Palos,"1,747"
886,Rolling Hills,"1,739"
887,Seeley,"1,729"
888,Hidden Hills,"1,725"
889,Willow Creek,"1,720"
890,Dunsmuir,"1,707"
891,Monument Hills,"1,702"
892,Foresthill,"1,692"
893,Red Corral,"1,687"
894,Graton,"1,683"
895,Woodville,"1,680"
896,Diablo Grande,"1,669"
897,Green Valley CDP,"1,654"
898,Home Garden,"1,653"
899 TIE,Elizabeth Lake and Allendale,"1,651"
900,Pine Valley,"1,645"
901,Berry Creek,"1,637"
902,Taft Mosswood,"1,636"
903,Quincy,"1,630"
904,Laton,"1,622"
905,Knightsen,"1,596"
906,Penn Valley,"1,593"
907 TIE,Del Rey Oaks and Le Grand,"1,592"
908,Elkhorn,"1,588"
909,Warm Springs,"1,586"
910,Avila Beach,"1,576"
911,Rancho Tehama Reserve,"1,572"
912,Searles Valley,"1,565"
913,Ladera,"1,557"
914 TIE,Leona Valley and Sunnyside-Tahoe City,"1,555"
915,Kernville,"1,549"
916,Westwood,"1,541"
917,Littlerock,"1,535"
918,Mariposa,"1,526"
919,London,"1,518"
920,Los Ranchos,"1,516"
921,Colma,"1,507"
922,Temelec,"1,500"
923,Descanso,"1,499"
924,Pala,"1,490"
925,Bolinas,"1,483"
926,Irwindale,"1,472"
927,Walnut Grove,"1,452"
928,Black Point-Green Point,"1,431"
929,Biola,"1,427"
930,Woodacre,"1,410"
931,Del Rio,"1,399"
932,Ferndale,"1,398"
933,Covelo,"1,394"
934,Tahoe Vista,"1,392"
935,Airport,"1,389"
936,Sheridan,"1,385"
937,Dunnigan,"1,382"
938,Inverness,"1,379"
939,Lake Riverside,"1,375"
940,Del Rey,"1,358"
941,Buttonwillow,"1,337"
