,case,date,time,location,beat,bias
136,20-271499,09/11/2020,02:35 PM,7700 BLOCK OF LA MANCHA WAY,5C,"anti-other religion (buddhism, hindusim, shintosim, etc.)"
137,20-271815,09/11/2020,09:20 PM,2500 BLOCK OF 33RD ST,6A,anti-other national origin
138,20-286288,09/26/2020,01:00 PM,2700 BLOCK OF 21ST ST,4A,anti-homosexual
139,20-295605,10/05/2020,01:10 PM,3500 BLOCK OF FORNEY WAY,6D,anti-black
140,20-304877,10/14/2020,11:06 AM,6800 BLOCK OF TRUDY WAY,4C,anti-black
141,20-1814104,10/16/2020,04:00 PM,1500 BLOCK OF 17TH ST,3B,anti-mulit-racial group
142,20-309579,10/18/2020,02:15 PM,3600 BLOCK OF NORTHGATE BLVD,1C,anti-asian
143,20-326993,11/04/2020,04:10 PM,2600 STONECREEK DR,1B,anti-asian/pacific islander
144,20-338172,11/16/2020,01:09 PM,7900 BLOCK OF DEER CREEK DR,5B,anti-black
145,20-338799,11/17/2020,07:55 AM,3600 BLOCK OF FRANKLIN BLVD,4A,anti-black
146,20-346379,11/25/2020,04:07 PM,2900 BLOCK OF ALTOS AVE,2B,anti-arab
147,20-348186,11/27/2020,08:36 PM,1400 BLOCK OF MEADOWVIEW RD,5A,anti-hispanic
148,20-1817224,12/14/2020,05:50 AM,PARK PLACE CT / SKYLAKE WAY,4C,"anti-homosexual 
anti-white"
149,20-364929,12/16/2020,10:50 AM,AHERN ST / N C ST,3A,anti-male homosexual (gay)
150,20-1818025,12/31/2020,12:40 PM,1900 BLOCK OF MIDDLEBERRY RD,2C,anti-male homosexual (gay)
151,21-9859,01/11/2021,11:30 AM,2300 BLOCK OF P ST,3B,anti-sexual orientation
152,21-9955,01/11/2021,02:39 PM,100 BLOCK OF SAN ANTONIO WAY,6D,anti-race/ethnicity/ancestry
153,21-1800911,01/20/2021,05:00 PM,1300 BLOCK OF E ST,3A,anti-race/ethnicity/ancestry
154,21-23306,01/25/2021,03:18 PM,500 BLOCK OF LAS PALMAS AVE,2B,anti-sexual orientation
155,21-1801497,01/30/2021,12:30 PM,4500 BLOCK OF MACK RD,5B,anti-multi bias
156,21-32373,02/03/2021,05:42 PM,2800 BLOCK OF 32ND AVE,4B,anti-race/ethnicity/ancestry
157,21-1801686,02/06/2021,05:00 PM,100 BLOCK OF CREEKS EDGE WAY,5B,anti-multi bias
158,21-1801896,02/08/2021,05:05 PM,1100 BLOCK OF ROSE TREE WAY,4C,anti-race/ethnicity/ancestry
159,21-1802933,02/15/2021,12:00 PM,2900 BLOCK OF WEALD WAY,1B,anti-multi bias
160,21-52327,02/22/2021,04:14 PM,600 BLOCK OF FLORIN PERKINS RD,6C,anti-race/ethnicity/ancestry
